1001,阿莫西林胶囊,500,15.50,B001,2026-12-31,2026-01-01 08:00:00,无
1002,布洛芬缓释胶囊,300,22.00,B002,2026-10-01,2026-01-02 08:00:00,无
1003,连花清瘟胶囊,1000,29.80,B003,2025-12-31,2026-01-03 08:00:00,无
1004,头孢克肟分散片,150,35.00,B004,2027-01-01,2026-01-04 08:00:00,无
1005,强力止咳糖浆,600,32.00,B005,2026-06-30,2026-01-05 08:00:00,无
1006,奥美拉唑肠溶胶囊,400,45.50,B006,2026-08-15,2026-01-06 08:00:00,无
1007,蒙脱石散,250,18.00,B007,2027-02-20,2026-01-07 08:00:00,无
1008,罗红霉素片,700,24.50,B008,2026-11-11,2026-01-08 08:00:00,无
1009,复方氨酚烷胺胶囊,850,12.80,B009,2025-09-09,2026-01-09 08:00:00,无
1010,盐酸二甲双胍片,320,28.00,B010,2027-05-05,2026-01-10 08:00:00,无
1011,辛伐他汀片,410,19.50,B011,2026-03-12,2026-01-11 08:00:00,无
1012,硝苯地平片,520,14.00,B012,2027-08-22,2026-01-12 08:00:00,无
1013,阿司匹林肠溶片,630,11.20,B013,2026-04-18,2026-01-13 08:00:00,无
1014,氯雷他定片,740,26.50,B014,2025-10-30,2026-01-14 08:00:00,无
1015,地氯雷他定片,150,38.00,B015,2027-07-07,2026-01-15 08:00:00,无
1016,盐酸氨溴索口服溶液,860,21.00,B016,2026-01-25,2026-01-16 08:00:00,无
1017,咳特灵糖浆,270,16.50,B017,2025-11-14,2026-01-17 08:00:00,无
1018,健胃消食片,980,13.50,B018,2027-09-19,2026-01-18 08:00:00,无
1019,多潘立酮片,190,27.80,B019,2026-05-28,2026-01-19 08:00:00,无
1020,铝碳酸镁咀嚼片,300,34.20,B020,2027-12-12,2026-01-20 08:00:00,无
1021,莫匹罗星软膏,420,18.90,B021,2026-02-08,2026-01-21 08:00:00,无
1022,红霉素软膏,530,9.50,B022,2025-08-01,2026-01-22 08:00:00,无
1023,炉甘石咀嚼片,640,31.00,B023,2027-11-23,2026-01-23 08:00:00,无
1024,维生素C片,750,8.00,B024,2026-07-16,2026-01-24 08:00:00,无
1025,复合维生素B片,860,10.50,B025,2025-12-05,2026-01-25 08:00:00,无
1026,葡萄糖酸钙锌口服液,170,42.00,B026,2027-10-10,2026-01-26 08:00:00,无
1027,碳酸钙D3片,280,55.00,B027,2026-09-02,2026-01-27 08:00:00,无
1028,六味地黄丸,390,23.00,B028,2027-04-27,2026-01-28 08:00:00,无
1029,藿香正气水,500,15.00,B029,2026-01-09,2026-01-29 08:00:00,无
1030,牛黄解毒丸,610,17.50,B030,2025-07-31,2026-01-30 08:00:00,无
1031,速效救心丸,720,48.00,B031,2027-06-14,2026-01-31 08:00:00,无
1032,丹参滴丸,830,39.50,B032,2026-10-21,2026-02-01 08:00:00,无
1033,云南白药胶囊,940,52.00,B033,2025-11-03,2026-02-02 08:00:00,无
1034,麝香保心丸,150,68.00,B034,2027-08-08,2026-02-03 08:00:00,无
1035,阿卡波糖片,260,22.50,B035,2026-03-26,2026-02-04 08:00:00,无
1036,格列美脲片,370,29.00,B036,2027-12-30,2026-02-05 08:00:00,无
1037,厄贝沙坦片,480,33.80,B037,2026-05-17,2026-02-06 08:00:00,无
1038,缬沙坦片,590,41.50,B038,2025-09-24,2026-02-07 08:00:00,无
1039,氨氯地平片,700,36.00,B039,2027-02-11,2026-02-08 08:00:00,无
1040,富马酸比索洛尔片,810,44.20,B040,2026-08-04,2026-02-09 08:00:00,无
